subject.no,group,condition,question.no,estimate.no,estimate
33131,7,I,2,tr.est2,0.620445344
34605,7,I,2,tr.est2,0.240890688
31594,7,I,2,tr.est2,0.265182186
34661,7,I,2,tr.est2,0.493927126
26812,8,I,2,tr.est2,0.190283401
29838,8,I,2,tr.est2,0.443319838
34148,8,I,2,tr.est2,0.240890688
36430,8,I,2,tr.est2,0.240890688
34534,8,I,2,tr.est2,0.493927126
29642,8,I,2,tr.est2,0.240890688
34630,8,I,2,tr.est2,NA
31185,8,I,2,tr.est2,0.367408907
27391,8,I,2,tr.est2,0.11437247
31804,8,I,2,tr.est2,0.392712551
32190,9,I,2,tr.est2,0.265182186
34693,9,I,2,tr.est2,0.138663968
34681,9,I,2,tr.est2,0.012145749
34712,9,I,2,tr.est2,0.138663968
30029,9,I,2,tr.est2,0.924089069
34776,9,I,2,tr.est2,0.518218623
34308,9,I,2,tr.est2,0.113360324
34588,9,I,2,tr.est2,0.240890688
20720,9,I,2,tr.est2,0.138663968
30973,9,I,2,tr.est2,0.08805668
34490,10,I,2,tr.est2,0.645748988
32284,10,I,2,tr.est2,0.418016194
32276,10,I,2,tr.est2,0.493927126
25492,10,I,2,tr.est2,0.5951417
711124,10,I,2,tr.est2,0.544534413
30095,10,I,2,tr.est2,0.633097166
711126,10,I,2,tr.est2,1.530364372
711125,10,I,2,tr.est2,0.012145749
29472,11,I,2,tr.est2,0.493927126
32871,11,I,2,tr.est2,0.771255061
34760,11,I,2,tr.est2,0.012145749
33176,11,I,2,tr.est2,0.138663968
6787,11,I,2,tr.est2,0.771255061
27844,11,I,2,tr.est2,0.391700405
31444,11,I,2,tr.est2,0.771255061
34803,11,I,2,tr.est2,0.012145749
34626,11,I,2,tr.est2,0.897773279
26648,11,I,2,tr.est2,0.518218623
25636,12,I,2,tr.est2,0.240890688
34799,12,I,2,tr.est2,0.620445344
34785,12,I,2,tr.est2,0.240890688
29942,12,I,2,tr.est2,0.138663968
34806,12,I,2,tr.est2,NA
31165,12,I,2,tr.est2,0.11437247
32864,12,I,2,tr.est2,0.240890688
34797,12,I,2,tr.est2,0.11437247
32490,12,I,2,tr.est2,1.530364372
26503,12,I,2,tr.est2,0.138663968
34860,12,I,2,tr.est2,0.138663968
33281,15,I,2,tr.est2,0.11437247
34460,15,I,2,tr.est2,0.392712551
34584,15,I,2,tr.est2,0.012145749
30377,15,I,2,tr.est2,0.214574899
28729,15,I,2,tr.est2,0.11437247
33804,15,I,2,tr.est2,0.265182186
33552,15,I,2,tr.est2,0.367408907
27105,15,I,2,tr.est2,0.493927126
25031,15,I,2,tr.est2,0.392712551
31470,16,I,2,tr.est2,0.11437247
29819,16,I,2,tr.est2,0.671052632
31227,16,I,2,tr.est2,0.645748988
33798,16,I,2,tr.est2,0.620445344
34295,16,I,2,tr.est2,0.190283401
34692,16,I,2,tr.est2,0.493927126
31819,16,I,2,tr.est2,0.746963563
28232,16,I,2,tr.est2,0.696356275
34689,16,I,2,tr.est2,0.367408907
34365,22,I,2,tr.est2,0.391700405
29755,22,I,2,tr.est2,0.265182186
33132,22,I,2,tr.est2,0.367408907
33549,22,I,2,tr.est2,0.771255061
32153,22,I,2,tr.est2,0.240890688
27076,22,I,2,tr.est2,0.08805668
30720,22,I,2,tr.est2,0.493927126
34834,22,I,2,tr.est2,0.518218623
25308,22,I,2,tr.est2,0.012145749
